operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2024-11-13,01:40 PM,02:00 PM,2024-11-14,BBPA_20241113184000.pdf,BBPA_20241113184000.xml,BBA_20241113184000.pdf,BBA_20241113184000.xml,BBR_20241113184000.pdf,BBR_20241113184000.xml,null,Liquidity Support,Nominal Coupons,1Mo to 2Y,5,31571000000.00,1000000.00,4000000000,9,57,4000000000.00
2024-11-06,01:40 PM,02:00 PM,2024-11-07,BBPA_20241106184000.pdf,BBPA_20241106184000.xml,BBA_20241106184000.pdf,BBA_20241106184000.xml,BBR_20241106184000.pdf,BBR_20241106184000.xml,null,Liquidity Support,TIPS,1Y to 7.5Y,6,847000000.00,1000000.00,500000000,9,26,170000000.00
2024-10-31,01:40 PM,02:00 PM,2024-11-01,BBPA_20241031174000.pdf,BBPA_20241031174000.xml,BBA_20241031174000.pdf,BBA_20241031174000.xml,BBR_20241031174000.pdf,BBR_20241031174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,12,6432000000.00,1000000.00,2000000000,9,26,2000000000.00
2024-10-23,01:40 PM,02:00 PM,2024-10-24,BBPA_20241023174000.pdf,BBPA_20241023174000.xml,BBA_20241023174000.pdf,BBA_20241023174000.xml,BBR_20241023174000.pdf,BBR_20241023174000.xml,null,Liquidity Support,TIPS,7.5Y to 30Y,12,977000000.00,1000000.00,500000000,9,18,323000000.00
2024-10-16,01:40 PM,02:00 PM,2024-10-17,BBPA_20241016174000.pdf,BBPA_20241016174000.xml,BBA_20241016174000.pdf,BBA_20241016174000.xml,BBR_20241016174000.pdf,BBR_20241016174000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,21,10257000000.00,1000000.00,4000000000,9,49,4000000000.00
2024-10-10,01:40 PM,02:00 PM,2024-10-11,BBPA_20241010174000.pdf,BBPA_20241010174000.xml,BBA_20241010174000.pdf,BBA_20241010174000.xml,BBR_20241010174000.pdf,BBR_20241010174000.xml,BBSPL_20241010174000.pdf,Liquidity Support,Nominal Coupons,5Y to 7Y,13,4963000000.00,1000000.00,4963000000,9,26,2469000000.00
2024-10-02,01:40 PM,02:00 PM,2024-10-03,BBPA_20241002174000.pdf,BBPA_20241002174000.xml,BBA_20241002174000.pdf,BBA_20241002174000.xml,BBR_20241002174000.pdf,BBR_20241002174000.xml,null,Liquidity Support,TIPS,1Y to 7.5Y,7,1384000000.00,1000000.00,500000000,9,26,235000000.00
2024-09-25,01:40 PM,02:00 PM,2024-09-26,BBPA_20240925174000.pdf,BBPA_20240925174000.xml,BBA_20240925174000.pdf,BBA_20240925174000.xml,BBR_20240925174000.pdf,BBR_20240925174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,19,13006000000.00,1000000.00,5000000000,9,37,5000000000.00
2024-09-24,01:40 PM,02:00 PM,2024-09-25,BBPA_20240924174000.pdf,BBPA_20240924174000.xml,BBA_20240924174000.pdf,BBA_20240924174000.xml,BBR_20240924174000.pdf,BBR_20240924174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,13,9702000000.00,1000000.00,2000000000,9,35,2000000000.00
2024-09-19,01:40 PM,02:00 PM,2024-09-20,BBPA_20240919174000.pdf,BBPA_20240919174000.xml,BBA_20240919174000.pdf,BBA_20240919174000.xml,BBR_20240919174000.pdf,BBR_20240919174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,9,26237000000.00,1000000.00,5000000000,9,41,5000000000.00
2024-09-17,01:40 PM,02:00 PM,2024-09-18,BBPA_20240917174000.pdf,BBPA_20240917174000.xml,BBA_20240917174000.pdf,BBA_20240917174000.xml,BBR_20240917174000.pdf,BBR_20240917174000.xml,null,Liquidity Support,TIPS,7.5Y to 30Y,9,881000000.00,1000000.00,500000000,9,18,153000000.00
2024-09-12,01:40 PM,02:00 PM,2024-09-13,BBPA_20240912174000.pdf,BBPA_20240912174000.xml,BBA_20240912174000.pdf,BBA_20240912174000.xml,BBR_20240912174000.pdf,BBR_20240912174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,3,22460000000.00,1000000.00,5000000000,9,39,5000000000.00
